"route","date","daytype","rides"
"1","08/10/2011","W","2,616"
"1","08/11/2011","W","2,709"
"1","08/12/2011","W","2,497"
"1","08/15/2011","W","2,637"
"1","08/16/2011","W","2,826"
"1","08/17/2011","W","3,084"
"1","08/18/2011","W","3,475"
"1","08/19/2011","W","2,597"
"1","08/22/2011","W","2,777"
"1","08/23/2011","W","2,614"
"1","08/24/2011","W","2,672"
"1","08/25/2011","W","2,685"
"1","08/26/2011","W","3,146"
"1","08/29/2011","W","2,599"
"1","08/30/2011","W","2,792"
"1","08/31/2011","W","2,720"
"1","09/01/2011","W","2,946"
"1","09/02/2011","W","2,430"
"1","09/06/2011","W","3,795"
"1","09/07/2011","W","3,323"
"1","09/08/2011","W","2,993"
"1","09/09/2011","W","2,773"
"1","09/12/2011","W","3,161"
"1","09/13/2011","W","3,174"
"1","09/14/2011","W","3,185"
"1","09/15/2011","W","3,168"
"1","09/16/2011","W","2,839"
"1","09/19/2011","W","3,187"
"1","09/20/2011","W","3,184"
"1","09/21/2011","W","2,988"
"1","09/22/2011","W","3,078"
"1","09/23/2011","W","3,151"
"1","09/26/2011","W","2,878"
"1","09/27/2011","W","3,100"
"1","09/28/2011","W","3,135"
"1","09/29/2011","W","3,591"
"1","09/30/2011","W","2,846"
"1","10/03/2011","W","3,156"
"1","10/04/2011","W","3,272"
"1","10/05/2011","W","2,960"
"1","10/06/2011","W","3,474"
"1","10/07/2011","W","2,803"
"1","10/10/2011","W","1,949"
"1","10/11/2011","W","3,014"
"1","10/12/2011","W","3,164"
"1","10/13/2011","W","3,167"
"1","10/14/2011","W","2,918"
"1","10/17/2011","W","2,887"
"1","10/18/2011","W","3,433"
"1","10/19/2011","W","2,960"
"1","10/20/2011","W","3,080"
"1","10/21/2011","W","2,825"
"1","10/24/2011","W","3,101"
"1","10/25/2011","W","3,011"
"1","10/26/2011","W","3,299"
"1","10/27/2011","W","3,133"
"1","10/28/2011","W","2,535"
"1","10/31/2011","W","3,311"
"1","11/01/2011","W","3,145"
"1","11/02/2011","W","3,004"
"1","11/03/2011","W","2,967"
"1","11/04/2011","W","2,818"
"1","11/07/2011","W","3,150"
"1","11/08/2011","W","3,155"
"1","11/09/2011","W","3,174"
"1","11/10/2011","W","2,656"
"1","11/11/2011","W","2,045"
"1","11/14/2011","W","3,113"
"1","11/15/2011","W","3,214"
"1","11/16/2011","W","3,126"
"1","11/17/2011","W","2,697"
"1","11/18/2011","W","2,916"
"1","11/21/2011","W","3,011"
"1","11/22/2011","W","2,983"
"1","11/23/2011","W","2,460"
"1","11/25/2011","W","957"
"1","11/28/2011","W","2,903"
"1","11/29/2011","W","2,961"
"1","11/30/2011","W","2,944"
"1","12/01/2011","W","3,098"
"1","12/02/2011","W","3,116"
"1","12/05/2011","W","3,251"
"1","12/06/2011","W","3,376"
"1","12/07/2011","W","3,309"
"1","12/08/2011","W","2,909"
"1","12/09/2011","W","2,889"
"1","12/12/2011","W","2,902"
"1","12/13/2011","W","2,928"
"1","12/14/2011","W","3,087"
"1","12/15/2011","W","3,016"
"1","12/16/2011","W","2,715"
"1","12/19/2011","W","2,535"
"1","12/20/2011","W","2,633"
"1","12/21/2011","W","2,372"
"1","12/22/2011","W","2,301"
"1","12/23/2011","W","1,603"
"1","12/27/2011","W","1,781"
"1","12/28/2011","W","1,931"
"1","12/29/2011","W","1,831"
"1","12/30/2011","W","1,499"
"1","01/03/2012","W","2,360"
"1","01/04/2012","W","2,183"
"1","01/05/2012","W","2,576"
"1","01/06/2012","W","2,264"
"1","01/09/2012","W","2,930"
"1","01/10/2012","W","2,969"
"1","01/11/2012","W","2,903"
"1","01/12/2012","W","2,766"
"1","01/13/2012","W","2,722"
"1","01/16/2012","W","1,240"
"1","01/17/2012","W","3,195"
"1","01/18/2012","W","3,087"
"1","01/19/2012","W","2,947"
"1","01/20/2012","W","2,752"
"1","01/23/2012","W","2,778"
"1","01/24/2012","W","3,154"
"1","01/25/2012","W","3,106"
"1","01/26/2012","W","3,256"
"1","01/27/2012","W","2,553"
"1","01/30/2012","W","2,906"
"1","01/31/2012","W","2,783"
"1","02/01/2012","W","3,031"
"1","02/02/2012","W","3,566"
"1","02/03/2012","W","2,667"
"1","02/06/2012","W","3,126"
"1","02/07/2012","W","2,979"
"1","02/08/2012","W","3,058"
"1","02/09/2012","W","3,249"
"1","02/10/2012","W","2,802"
"1","02/13/2012","W","2,688"
"1","02/14/2012","W","3,125"
"1","02/15/2012","W","3,052"
"1","02/16/2012","W","3,089"
"1","02/17/2012","W","2,619"
"1","02/20/2012","W","1,739"
"1","02/21/2012","W","3,333"
"1","02/22/2012","W","3,152"
"1","02/23/2012","W","3,492"
"1","02/24/2012","W","2,772"
"1","02/27/2012","W","2,825"
"1","02/28/2012","W","3,079"
"1","02/29/2012","W","3,192"
"1","03/01/2012","W","3,247"
"1","03/02/2012","W","2,829"
"1","03/05/2012","W","2,521"
"1","03/06/2012","W","3,170"
"1","03/07/2012","W","2,965"
"1","03/08/2012","W","2,971"
"1","03/09/2012","W","3,103"
"1","03/12/2012","W","2,794"
"1","03/13/2012","W","2,987"
"1","03/14/2012","W","3,097"
"1","03/15/2012","W","3,282"
"1","03/16/2012","W","2,927"
"1","03/19/2012","W","2,994"
"1","03/20/2012","W","3,317"
"1","03/21/2012","W","3,083"
"1","03/22/2012","W","3,069"
"1","03/23/2012","W","3,093"
"1","03/26/2012","W","3,075"
"1","03/27/2012","W","2,946"
"1","03/28/2012","W","3,665"
"1","03/29/2012","W","2,894"
"1","03/30/2012","W","2,821"
"1","04/02/2012","W","2,949"
"1","04/03/2012","W","2,958"
"1","04/04/2012","W","2,927"
"1","04/05/2012","W","2,821"
"1","04/06/2012","W","2,148"
"1","04/09/2012","W","2,930"
"1","04/10/2012","W","3,115"
"1","04/11/2012","W","3,331"
"1","04/12/2012","W","3,315"
"1","04/13/2012","W","2,693"
"1","04/16/2012","W","3,160"
"1","04/17/2012","W","3,427"
"1","04/18/2012","W","3,173"
"1","04/19/2012","W","3,215"
"1","04/20/2012","W","2,982"
"1","04/23/2012","W","3,042"
"1","04/24/2012","W","3,082"
"1","04/25/2012","W","3,105"
"1","04/26/2012","W","3,262"
"1","04/27/2012","W","3,093"
"1","04/30/2012","W","2,938"
"1","05/01/2012","W","3,311"
"1","05/02/2012","W","3,262"
"1","05/03/2012","W","3,300"
"1","05/04/2012","W","3,095"
"1","05/07/2012","W","3,105"
"1","05/08/2012","W","2,939"
"1","05/09/2012","W","3,196"
"1","05/10/2012","W","3,576"
"1","05/11/2012","W","3,057"
"1","05/14/2012","W","2,934"
"1","05/15/2012","W","2,978"
"1","05/16/2012","W","3,265"
"1","05/17/2012","W","3,288"
"1","05/18/2012","W","2,173"
"1","05/21/2012","W","1,714"
"1","05/22/2012","W","3,143"
"1","05/23/2012","W","3,053"
"1","05/24/2012","W","3,136"
"1","05/25/2012","W","2,695"
"1","05/29/2012","W","3,128"
"1","05/30/2012","W","3,059"
"1","05/31/2012","W","3,447"
"1","06/01/2012","W","3,166"
"1","06/04/2012","W","3,208"
"1","06/05/2012","W","3,404"
"1","06/06/2012","W","3,140"
"1","06/07/2012","W","3,003"
"1","06/08/2012","W","2,751"
"1","06/11/2012","W","2,735"
"1","06/12/2012","W","2,920"
"1","06/13/2012","W","3,065"
"1","06/14/2012","W","2,634"
"1","06/15/2012","W","2,549"
"1","06/18/2012","W","2,275"
"1","06/19/2012","W","2,510"
"1","06/20/2012","W","2,529"
"1","06/21/2012","W","2,417"
"1","06/22/2012","W","2,204"
"1","06/25/2012","W","2,297"
"1","06/26/2012","W","2,333"
"1","06/27/2012","W","2,466"
"1","06/28/2012","W","2,606"
"1","06/29/2012","W","2,116"
"1","07/02/2012","W","2,421"
"1","07/03/2012","W","2,401"
"1","07/05/2012","W","2,273"
"1","07/06/2012","W","2,075"
"1","07/09/2012","W","2,491"
"1","07/10/2012","W","2,736"
"1","07/11/2012","W","2,611"
"1","07/12/2012","W","2,655"
"1","07/13/2012","W","2,380"
