"route","date","daytype","rides"
"1","10/02/2024","W","1,335"
"1","08/25/2021","W","467"
"1","03/28/2024","W","883"
"1","07/27/2023","W","1,028"
"1","09/29/2021","W","647"
"1","10/15/2021","W","567"
"1","12/30/2022","W","348"
"1","07/22/2024","W","855"
"1","10/06/2021","W","708"
"1","12/14/2023","W","1,063"
"1","09/19/2023","W","1,375"
"1","03/17/2023","W","698"
"1","02/17/2023","W","736"
"1","01/11/2023","W","878"
"1","01/11/2024","W","1,214"
"1","11/23/2022","W","400"
"1","10/15/2024","W","1,376"
"1","08/12/2021","W","349"
"1","10/26/2023","W","1,210"
"1","07/26/2022","W","987"
"1","03/04/2024","W","939"
"1","05/14/2021","W","286"
"1","04/28/2021","W","254"
"1","11/28/2022","W","549"
"1","05/10/2023","W","1,077"
"1","06/27/2023","W","1,150"
"1","05/26/2023","W","604"
"1","11/09/2021","W","706"
"1","04/10/2023","W","872"
"1","08/30/2024","W","924"
"1","12/02/2024","W","1,011"
"1","05/22/2024","W","1,300"
"1","12/26/2023","W","387"
"1","02/25/2021","W","209"
"1","08/25/2022","W","929"
"1","02/11/2021","W","253"
"1","01/18/2021","W","124"
"1","02/16/2021","W","186"
"1","10/22/2024","W","1,355"
"1","09/05/2024","W","1,402"
"1","09/14/2022","W","929"
"1","09/20/2022","W","1,019"
"1","01/30/2024","W","1,362"
"1","10/27/2023","W","762"
"1","01/10/2022","W","354"
"1","07/12/2024","W","706"
"1","08/08/2024","W","825"
"1","06/08/2021","W","365"
"1","05/12/2021","W","245"
"1","05/23/2024","W","1,068"
"1","07/27/2021","W","418"
"1","08/08/2022","W","919"
"1","12/21/2023","W","757"
"1","06/28/2022","W","830"
"1","12/18/2023","W","827"
"1","07/20/2023","W","1,084"
"1","02/14/2022","W","483"
"1","07/24/2024","W","1,206"
"1","02/06/2023","W","899"
"1","04/28/2022","W","862"
"1","05/30/2023","W","1,129"
"1","03/21/2024","W","1,295"
"1","10/04/2023","W","1,344"
"1","09/03/2024","W","1,378"
"1","06/21/2022","W","817"
"1","10/16/2023","W","1,028"
"1","07/01/2022","W","510"
"1","09/27/2021","W","570"
"1","09/15/2022","W","1,102"
"1","03/10/2023","W","712"
"1","04/27/2021","W","243"
"1","01/12/2023","W","863"
"1","03/20/2024","W","1,383"
"1","09/18/2024","W","1,336"
"1","03/13/2024","W","1,405"
"1","06/21/2023","W","1,117"
"1","06/28/2023","W","973"
"1","09/08/2023","W","786"
"1","05/19/2021","W","286"
"1","03/23/2023","W","1,089"
"1","05/09/2023","W","1,062"
"1","09/09/2024","W","1,198"
"1","02/10/2023","W","659"
"1","11/29/2024","W","354"
"1","03/18/2021","W","238"
"1","05/24/2024","W","661"
"1","01/19/2021","W","210"
"1","11/07/2022","W","980"
"1","03/03/2021","W","231"
"1","04/01/2021","W","250"
"1","10/09/2023","W","886"
"1","11/28/2023","W","1,231"
"1","09/24/2021","W","467"
"1","08/11/2021","W","316"
"1","02/27/2023","W","841"
"1","12/06/2022","W","908"
"1","05/08/2023","W","780"
"1","11/10/2021","W","631"
"1","06/28/2021","W","349"
"1","08/24/2023","W","1,112"
"1","06/25/2021","W","366"
"1","04/13/2022","W","691"
"1","09/14/2021","W","644"
"1","03/08/2021","W","231"
"1","05/19/2023","W","662"
"1","12/16/2024","W","1,032"
"1","10/05/2022","W","693"
"1","03/01/2024","W","887"
"1","09/19/2024","W","1,439"
"1","10/14/2024","W","907"
"1","08/27/2024","W","1,361"
"1","07/14/2023","W","742"
"1","02/06/2024","W","1,316"
"1","12/13/2023","W","1,141"
"1","12/14/2022","W","985"
"1","02/04/2022","W","629"
"1","01/13/2023","W","578"
"1","01/05/2024","W","636"
"1","04/26/2021","W","273"
"1","03/10/2021","W","184"
"1","11/01/2022","W","788"
"1","06/09/2021","W","306"
"1","04/13/2023","W","1,196"
"1","07/14/2021","W","423"
"1","08/07/2024","W","1,290"
"1","09/12/2022","W","901"
"1","04/04/2023","W","1,060"
"1","11/04/2021","W","609"
"1","10/14/2021","W","613"
"1","10/28/2021","W","597"
"1","12/28/2023","W","536"
"1","11/27/2024","W","616"
"1","05/31/2022","W","703"
"1","08/04/2023","W","800"
"1","10/04/2022","W","934"
"1","12/13/2022","W","1,034"
"1","01/21/2022","W","394"
"1","12/20/2023","W","938"
"1","01/19/2022","W","472"
"1","10/30/2023","W","1,099"
"1","01/20/2021","W","224"
"1","07/19/2021","W","503"
"1","08/21/2023","W","986"
"1","05/28/2024","W","898"
"1","10/21/2024","W","1,174"
"1","06/14/2023","W","1,176"
"1","05/19/2022","W","856"
"1","08/29/2024","W","1,330"
"1","03/23/2022","W","678"
"1","01/12/2024","W","544"
"1","03/02/2022","W","624"
"1","02/29/2024","W","1,220"
"1","02/08/2021","W","186"
"1","06/29/2023","W","881"
"1","12/22/2023","W","506"
"1","06/22/2022","W","691"
"1","09/06/2022","W","910"
"1","01/07/2021","W","180"
"1","05/11/2021","W","298"
"1","05/29/2024","W","1,189"
"1","06/23/2022","W","852"
"1","09/27/2023","W","1,248"
"1","12/23/2022","W","105"
"1","09/07/2023","W","1,315"
"1","09/07/2021","W","587"
"1","12/07/2022","W","746"
"1","02/12/2021","W","283"
"1","02/24/2021","W","209"
"1","12/20/2024","W","707"
"1","11/26/2024","W","910"
"1","03/28/2022","W","643"
"1","02/28/2024","W","1,324"
"1","11/11/2021","W","448"
"1","10/24/2024","W","1,382"
"1","01/14/2022","W","389"
"1","08/06/2024","W","1,133"
"1","06/30/2023","W","508"
"1","04/22/2024","W","1,148"
"1","08/19/2021","W","433"
"1","08/10/2021","W","451"
